record_id,country_code,country_name,region,income_level,date,year,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index
1,USA,United States,North America,High,2015-01-04,2015,1,1,37.09,-95.71,331,4.59,0.76,75.7,0,0,0,0,39.0,82.0,69.4,31.5,6.6,16.2,1.4,77.3,63627.0,71.2,90.2
2,USA,United States,North America,High,2015-01-11,2015,1,2,37.09,-95.71,331,3.13,-0.5,97.0,0,0,0,0,17.9,6.0,70.0,26.3,5.2,11.4,0.0,83.6,63627.0,70.6,94.0
3,USA,United States,North America,High,2015-01-18,2015,1,3,37.09,-95.71,331,3.99,-0.14,74.1,0,0,0,0,91.5,137.0,66.9,33.4,1.3,19.5,0.0,84.7,63627.0,63.4,100.0
4,USA,United States,North America,High,2015-01-25,2015,1,4,37.09,-95.71,331,6.43,-0.06,87.7,0,0,0,0,5.5,-3.0,47.0,35.0,6.0,9.7,9.0,84.3,63627.0,68.1,96.4
5,USA,United States,North America,High,2015-02-01,2015,2,5,37.09,-95.71,331,9.0,0.47,75.8,1,0,0,1,37.1,48.0,61.3,28.3,1.4,22.6,27.3,83.6,63733.0,69.1,100.0
6,USA,United States,North America,High,2015-02-08,2015,2,6,37.09,-95.71,331,6.44,0.18,151.0,0,0,0,0,114.1,157.0,80.2,30.6,0.7,23.7,11.9,78.0,63733.0,70.1,97.1
7,USA,United States,North America,High,2015-02-15,2015,2,7,37.09,-95.71,331,6.86,0.38,102.1,0,0,0,0,28.9,51.0,70.3,33.2,5.9,25.4,9.1,81.7,63733.0,68.5,100.0
8,USA,United States,North America,High,2015-02-22,2015,2,8,37.09,-95.71,331,8.34,0.64,102.9,1,0,0,1,0.0,5.0,48.0,33.3,6.4,17.7,20.3,86.7,63733.0,59.4,95.0
9,USA,United States,North America,High,2015-03-01,2015,3,9,37.09,-95.71,331,9.58,-0.83,82.2,0,0,0,0,18.8,29.0,80.3,24.9,5.9,18.3,7.8,84.9,63839.0,75.7,100.0
10,USA,United States,North America,High,2015-03-08,2015,3,10,37.09,-95.71,331,8.25,0.71,74.5,1,0,0,1,20.3,22.0,59.1,32.5,0.3,18.8,13.7,87.1,63839.0,71.9,95.2
11,USA,United States,North America,High,2015-03-15,2015,3,11,37.09,-95.71,331,8.83,-0.16,142.7,1,0,0,1,0.7,-23.0,54.1,32.0,7.3,12.3,13.6,83.2,63839.0,72.1,100.0
12,USA,United States,North America,High,2015-03-22,2015,3,12,37.09,-95.71,331,11.32,-0.34,126.3,0,0,0,0,40.4,73.0,63.9,22.2,8.1,25.1,20.8,79.1,63839.0,65.2,96.0
13,USA,United States,North America,High,2015-03-29,2015,3,13,37.09,-95.71,331,12.28,0.64,132.7,0,0,0,0,57.0,82.0,59.6,28.7,2.6,18.1,20.8,82.5,63839.0,71.4,100.0
14,USA,United States,North America,High,2015-04-05,2015,4,14,37.09,-95.71,331,13.64,-0.13,201.5,0,0,0,0,0.0,7.0,47.8,32.9,6.4,18.1,17.6,85.1,63945.0,62.4,97.5
15,USA,United States,North America,High,2015-04-12,2015,4,15,37.09,-95.71,331,11.04,-0.62,124.5,0,0,0,0,44.7,71.0,55.3,32.2,5.2,22.9,21.9,85.2,63945.0,65.2,100.0
16,USA,United States,North America,High,2015-04-19,2015,4,16,37.09,-95.71,331,9.17,0.16,125.9,1,0,0,1,70.8,106.0,86.5,37.2,5.7,19.4,15.1,79.9,63945.0,62.0,100.0
17,USA,United States,North America,High,2015-04-26,2015,4,17,37.09,-95.71,331,9.96,-0.26,62.8,0,0,0,0,56.4,77.0,77.8,29.0,1.8,14.9,17.8,82.6,63945.0,66.3,100.0
18,USA,United States,North America,High,2015-05-03,2015,5,18,37.09,-95.71,331,8.29,1.08,133.2,2,0,0,2,59.6,80.0,67.4,30.1,2.7,26.8,25.4,77.7,64051.0,67.4,100.0
19,USA,United States,North America,High,2015-05-10,2015,5,19,37.09,-95.71,331,10.93,0.64,122.7,1,0,0,1,76.7,104.0,62.2,33.5,10.6,18.4,19.7,76.5,64051.0,63.0,99.2
20,USA,United States,North America,High,2015-05-17,2015,5,20,37.09,-95.71,331,5.8,0.78,147.9,0,0,0,0,27.2,34.0,58.7,45.6,6.2,23.1,5.1,82.9,64051.0,70.3,100.0
21,USA,United States,North America,High,2015-05-24,2015,5,21,37.09,-95.71,331,3.88,0.65,86.2,0,0,0,0,95.6,154.0,79.4,35.4,4.7,16.1,3.3,80.6,64051.0,74.4,97.4
22,USA,United States,North America,High,2015-05-31,2015,5,22,37.09,-95.71,331,6.17,0.48,144.2,0,0,0,0,40.2,69.0,55.8,36.8,6.7,15.0,0.0,86.0,64051.0,63.9,96.4
23,USA,United States,North America,High,2015-06-07,2015,6,23,37.09,-95.71,331,9.14,-0.21,84.1,1,0,0,1,49.7,67.0,76.4,29.3,7.6,17.1,17.7,77.1,64157.0,79.1,100.0
24,USA,United States,North America,High,2015-06-14,2015,6,24,37.09,-95.71,331,4.24,0.61,56.0,0,0,0,0,68.1,112.0,63.4,33.0,0.0,27.4,1.4,86.6,64157.0,74.0,100.0
25,USA,United States,North America,High,2015-06-21,2015,6,25,37.09,-95.71,331,3.33,0.11,104.0,0,0,0,0,61.0,109.0,63.5,27.2,9.1,8.3,9.0,80.4,64157.0,68.5,99.7
26,USA,United States,North America,High,2015-06-28,2015,6,26,37.09,-95.71,331,3.14,0.65,105.5,0,0,0,0,51.2,78.0,50.9,29.0,4.0,20.8,1.1,82.7,64157.0,74.9,100.0
27,USA,United States,North America,High,2015-07-05,2015,7,27,37.09,-95.71,331,6.83,0.21,64.6,0,0,0,0,93.6,158.0,96.2,30.5,7.9,11.2,12.1,85.6,64263.0,69.2,93.0
28,USA,United States,North America,High,2015-07-12,2015,7,28,37.09,-95.71,331,-2.3,-0.94,83.7,0,0,0,0,57.5,101.0,74.7,32.7,7.1,17.8,0.0,79.2,64263.0,68.6,100.0
29,USA,United States,North America,High,2015-07-19,2015,7,29,37.09,-95.71,331,1.07,-0.03,76.4,0,0,0,0,51.7,41.0,56.5,29.3,4.8,19.8,0.0,81.6,64263.0,77.6,100.0
30,USA,United States,North America,High,2015-07-26,2015,7,30,37.09,-95.71,331,-3.72,-0.67,79.7,0,0,0,0,70.6,129.0,62.9,25.1,5.7,28.7,0.0,86.0,64263.0,77.8,100.0
31,USA,United States,North America,High,2015-08-02,2015,8,31,37.09,-95.71,331,0.68,0.1,28.7,0,1,0,1,47.5,81.0,77.9,25.7,7.1,23.8,0.0,81.7,64368.0,61.1,74.6
32,USA,United States,North America,High,2015-08-09,2015,8,32,37.09,-95.71,331,-0.73,0.76,57.6,0,0,0,0,89.2,113.0,59.7,33.5,6.2,18.3,0.0,84.5,64368.0,69.6,93.2
33,USA,United States,North America,High,2015-08-16,2015,8,33,37.09,-95.71,331,-2.15,-0.46,36.4,0,0,0,0,26.2,38.0,67.4,22.8,6.5,15.9,0.0,80.8,64368.0,69.5,94.6
34,USA,United States,North America,High,2015-08-23,2015,8,34,37.09,-95.71,331,-5.92,1.0,49.6,0,0,0,0,32.6,52.0,58.7,33.9,6.8,22.3,0.0,75.6,64368.0,67.1,98.4
35,USA,United States,North America,High,2015-08-30,2015,8,35,37.09,-95.71,331,-7.11,0.7,95.2,0,0,0,0,34.7,61.0,63.5,48.9,8.4,17.9,0.0,80.2,64368.0,62.0,100.0
36,USA,United States,North America,High,2015-09-06,2015,9,36,37.09,-95.71,331,-7.37,-0.31,11.1,0,0,0,0,63.2,109.0,79.5,31.7,2.4,18.5,0.0,87.2,64474.0,75.1,97.5
37,USA,United States,North America,High,2015-09-13,2015,9,37,37.09,-95.71,331,-5.64,-0.32,83.7,0,0,0,0,10.5,-13.0,62.6,28.5,5.4,16.7,0.0,81.3,64474.0,67.7,96.6
38,USA,United States,North America,High,2015-09-20,2015,9,38,37.09,-95.71,331,-5.93,-0.4,24.3,0,0,0,0,56.3,72.0,69.6,27.8,4.3,14.0,0.0,79.6,64474.0,73.8,100.0
39,USA,United States,North America,High,2015-09-27,2015,9,39,37.09,-95.71,331,-5.02,0.39,0.0,0,0,0,0,73.6,102.0,62.1,33.4,0.0,16.2,0.0,79.1,64474.0,62.4,100.0
40,USA,United States,North America,High,2015-10-04,2015,10,40,37.09,-95.71,331,-4.69,1.41,0.0,0,1,0,1,38.5,52.0,71.6,34.2,7.5,12.9,0.0,80.1,64580.0,74.2,72.4
41,USA,United States,North America,High,2015-10-11,2015,10,41,37.09,-95.71,331,-3.96,-0.08,51.8,0,0,0,0,34.5,53.0,58.8,35.4,5.8,20.2,0.0,83.7,64580.0,67.6,97.6
